cégnév;cím;email;irányítószám;lat;lng;megye;megye_label;telefon;település;tevékenységek
A. S. HUNGÁRIA Termelő- és Kereskedelmi Korlátolt Felelősségű Társaság;Daróci utca 1-3. D ép. 130.;ash@ash.hu;1113;47.48011;19.02962;Budapest;Budapest;+3612791088;Budapest, XI. kerület;Split-klíma telepítés | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Kis hűtőberendezés szerviz
AIRCO Hűtés- és légtechnika Kft.;Nemes utca 89.;aircoklima@aircoklima.hu;1188;47.41208;19.19916;Budapest;Budapest;+36702201627;Budapest, XVIII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
AIRCON Klímatechnika Kft.;Bátori László utca 22.;aircon@aircon.hu;1029;47.54499;18.95898;Budapest;Budapest;+36204710465;Budapest, II. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Adcoolteam Kft.;Karéj u 19b;adcoolteam@gmail.com;1222;47.42790;19.00659;Budapest;Budapest;+36306918558;Budapest, XXII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Alpin Klíma Team Kft.;Népszínház 55;alpinklimateam@gmail.com;1081;47.49358;19.08105;Budapest;Budapest;+36703800174;Budapest, VIII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Bdpst Klíma Kft.;Váci út 16. fszt. 12.;info@bdpstklima.hu;1132;47.51313;19.05711;Budapest;Budapest;+36709354063;Budapest, XIII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
CLH Klímaszerviz Kft.;Pillangó utca 28.;szervizrendeles@ckk.hu;1149;47.50527;19.11509;Budapest;Budapest;213000700;Budapest, XIV. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Czékus Balázs Imre egyéni vállalkozó;Honvéd utca 16.;blg.electric.air@gmail.com;1055;47.50784;19.04945;Budapest;Budapest;+36302600193;Budapest, V. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz
DIMER Kft.;Kelemen u. 39.;info@dimerkft.hu;1103;47.48028;19.13880;Budapest;Budapest;+3612220468;Budapest, X. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Diós Vilmos egyéni vállalkozó Szüneteltetett vállalkozói tevékenység:2023.03.20;Daru út 83;ev.diosvilmos@gmail.com;1213;47.39117;19.10245;Budapest;Budapest;+36305587853;Budapest, XXI. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Harangi Zoltán egyéni vállalkozó;Rudnyánszki utca 4;zoltan.harangi@gmail.com;1225;47.46804;19.09900;Budapest;Budapest;+36706003578;Budapest, XXII. kerület;Split-klíma telepítés | Háztartási hőszivattyú telepítés
ILKA Hungária Kft.;Nyírpalota Út 79d;info@ilkaszerviz.hu;1157;47.54519;19.14227;Budapest;Budapest;+36302510755;Budapest, XV. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Ib-air épületgépészeti Korlátolt Felelősségű Társaság;Nápoly u 65.;illes.istvan81@gmail.com;1171;47.47743;19.28131;Budapest;Budapest;+36203478794;Budapest, XVII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
KLIMETTA Kft.;;klimettaal@gmail.com;1174;47.46034;19.24529;Budapest;Budapest;703122727;Budapest, XVII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés szerviz
Kukoricza Elektronika Kft.;Nemes utca 55.;jk@kukoricza.com;1188;47.40933;19.19460;Budapest;Budapest;+36209879085;Budapest, XVIII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés
Langpower Kft;Úttörők útja 16;info.langpower@gmail.com;1225;47.39082;18.98291;Budapest;Budapest;+36202514032;Budapest, XXII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Leskó Trade Kft.;Jókai Mór utca 3/A.;leskotrade@leskotrade.hu;1163;47.51016;19.19046;Budapest;Budapest;+36703341310;Budapest, XVI. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Lukács Property Kft;Árpád út 35.;jancso.gepeszet@gmail.com;1042;47.56041;19.08502;Budapest;Budapest;+36205719655;Budapest, IV. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Kis hűtőberendezés telepítés
MG Thermotechnika Kft.;Vizimolnár utca 10 6/54;moriczg65@gmail.com;1031;47.56874;19.05335;Budapest;Budapest;+36204592060;Budapest, III. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz
Mattea Kft.;Szerencs utca 1.;hoszivattyumester@gmail.com;1153;47.55371;19.10827;Budapest;Budapest;+36705030500;Budapest, XV. kerület;Split-klíma telepítés | Háztartási hőszivattyú telepítés
Nagy Bence Bátor egyéni vállalkozó;Koszta József utca 19;nagybencebator@gmail.com;1124;47.48759;19.01054;Budapest;Budapest;+36704244919;Budapest, XII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés
Nordes Ancin S.A. Magyarországi Fióktelepe;Városmajor u. 46A;cc@nordesancin.com;1122;47.50542;19.01772;Budapest;Budapest;+34981138338;Budapest, XII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Northwind Hűtéstechnika Kft.;Torbágy u. 16. II/6.;northwind@northwind.hu;1118;47.47158;18.99870;Budapest;Budapest;704099760;Budapest, XI. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Primer Skills Hungary Kft;Füstike utca 8.;info@primerskills.hu;1224;47.43536;19.02580;Budapest;Budapest;+36302471904;Budapest, XXII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Prowex Kft.;Hollandi út 177;kiszely@prowex.hu;1213;47.39626;19.10691;Budapest;Budapest;+36302984180;Budapest, XXI. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Rehák Attila egyéni vállalkozó;Kisfaludy utca 16/I/7;rehatti@gmail.com;1082;47.48831;19.07223;Budapest;Budapest;+36202827212;Budapest, VIII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Rexa Roland Viktor egyéni vállalkozó;Gellérthegy utca, 2A;roland.rexa@gmail.com;1016;47.49647;19.03185;Budapest;Budapest;+36304748930;Budapest, I. kerület;Split-klíma telepítés | Háztartási hőszivattyú telepítés
Senzortech Kft.;Zsókavár u. 20;info@senzortech.hu;1157;47.54190;19.14305;Budapest;Budapest;+30203739000;Budapest, XV. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Spacsek György Vilmos egyéni vállalkozó;Szentmihályi út 13.;klimasector@gmail.com;1144;47.50740;19.15083;Budapest;Budapest;+36702563001;Budapest, XIV. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés
Szijártó Zoltán egyéni vállalkozó;Mézesfehér utca 21.;zoltan.szijarto76@gmail.com;1222;47.41955;19.03703;Budapest;Budapest;707016911;Budapest, XXII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz
Szizov Anton egyéni vállalkozó;Körvasút sor 40.;szizov@gmail.com;1161;47.52048;19.14796;Budapest;Budapest;+36702827527;Budapest, XVI. kerület;Háztartási hőszivattyú szerviz
Szőke Lajos egyéni vállalkozó;Orgona köz 5.;elizklima@gmail.com;1048;47.58358;19.11222;Budapest;Budapest;+36304877908;Budapest, IV. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz
Szőnyi István Levente egyéni vállalkozó;Lászlófalva utca 12.;cassafuro@gmail.com;1182;47.42771;19.19473;Budapest;Budapest;306050790;Budapest, XVIII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
VTS Service Kft.;Hungária körút 162.;vtsservicekft@gmail.com;1146;47.51404;19.09473;Budapest;Budapest;+3614360100;Budapest, XIV. kerület;Háztartási hőszivattyú szerviz | Klímarendszer szerviz (VRV)
Váradi István egyéni vállalkozó;Gádor utca 12;varadi.klima@gmail.com;1222;47.42263;19.03153;Budapest;Budapest;+36703396036;Budapest, XXII. kerület;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés
B.s. Specialcool Kft;TISZASOR 25;b.s.specialcool@gmail.com;6060;46.92941;20.09872;Bács-Kiskun;Bács-Kiskun;+36706788221;Tiszakécske;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
BELKA KFT.;Jelky tér 1.;belkabaja@gmail.com;6500;46.18215;18.95265;Bács-Kiskun;Bács-Kiskun;+36305046501;Baja;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Balla Attila egyéni vállalkozó;Petőfi Sándor u. 7;balla.attilaev@gmail.com;6112;46.62206;19.93278;Bács-Kiskun;Bács-Kiskun;+36707206115;Pálmonostora;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés
Biber Benjámin egyéni vállalkozó;Molnár Béla utca 3. 1/7;info@benoklíma;6100;46.71080;19.85128;Bács-Kiskun;Bács-Kiskun;+36706774717;Kiskunfélegyháza;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz
Borisz és Tozsó Kft.;Nekcsei Demeter utca 5. 5.;boriszestozsokft@gmail.com;6000;46.91900;19.65986;Bács-Kiskun;Bács-Kiskun;+36203124869;Kecskemét;Split-klíma telepítés | Háztartási hőszivattyú telepítés
CenThermo Kft.;Klapka utca 11/A.;klima@centhermo.hu;6100;46.70828;19.85247;Bács-Kiskun;Bács-Kiskun;+36306835623;Kiskunfélegyháza;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés
CoolControl Kft.;Bernhart Sándor utca 14/B;info@coolcontrol.hu;6500;46.18806;18.96131;Bács-Kiskun;Bács-Kiskun;309780649;Baja;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Daczi Sándor egyéni vállalkozó;;dsandorfgaz@gmail.com;6400;46.44016;19.48331;Bács-Kiskun;Bács-Kiskun;+36702291405;Kiskunhalas;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés
Dancsa és Társa Bt.;Damjanich utca 28.;dancsabt@gmail.com;6050;47.01875;19.55864;Bács-Kiskun;Bács-Kiskun;+36703645036;Lajosmizse;Split-klíma telepítés | Háztartási hőszivattyú telepítés | Klímarendszer telepítés (VRV)
Farkas Vilmos egyéni vállalkozó;Fülöp György utca 21;farkasvilmos00@gmail.com;6087;46.91120;18.97133;Bács-Kiskun;Bács-Kiskun;+36309387516;Dunavecse;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Hőenergia Fűtés és Klímatechnika Korlátolt Felelősségű Társaság;Soltvadkerti u. 43/4.;hoenergia@gmail.com;6237;46.53175;19.26091;Bács-Kiskun;Bács-Kiskun;+36309006334;Kecel;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Juhász Tamás egyéni vállalkozó;Damjanich utca 15.;tomiklimatechnika@gmail.com;6430;46.13527;19.33510;Bács-Kiskun;Bács-Kiskun;36304601663;Bácsalmás;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Kalo-Hosting Távközlési Szolgáltató Korlátolt Felelősségű Társaság;Alkotmány utca 39.;info@kalo-hosting.hu;6300;46.52565;18.97233;Bács-Kiskun;Bács-Kiskun;+36305430535;Kalocsa;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Marek Solutions Kft.;Arany János utca 38;mareksolutionskft@gmail.com;6060;46.93419;20.08817;Bács-Kiskun;Bács-Kiskun;+36206251089;Tiszakécske;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Kis hűtőberendezés szerviz
Mihály Attila József egyéni vállalkozó;Dózsa György utca 64.;mihalyattilaev@gmail.com;6527;46.04303;18.91528;Bács-Kiskun;Bács-Kiskun;+36204966622;Nagybaracska;Split-klíma telepítés | Háztartási hőszivattyú telepítés
Minker Kft.;Szegedi 113.;zsolt@minker.hu;6500;46.18423;18.97630;Bács-Kiskun;Bács-Kiskun;79420300;Baja;Split-klíma telepítés | Háztartási hőszivattyú telepítés | Klímarendszer telepítés (VRV) | Kis hűtőberendezés telepítés
Pro Frost Klíma Kft.;Gólya 22;info@profrostklima.hu;6000;46.92957;19.68467;Bács-Kiskun;Bács-Kiskun;+36705035523;Kecskemét;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Péter-Szabó László Gábor egyéni vállalkozó;Új utca 58.;info@pszlaci.hu;6400;46.44800;19.47550;Bács-Kiskun;Bács-Kiskun;+36703176024;Kiskunhalas;Split-klíma telepítés | Háztartási hőszivattyú telepítés
Rotor Kft;Géza Fejedelem krt. 50.;rotor@rotor.hu;6000;46.91367;19.71963;Bács-Kiskun;Bács-Kiskun;209359761;Kecskemét;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Sala-Therm épületgépészeti Kereskedelmi és Szolgáltató Korlátolt Felelősségű Társaság;;salatherm@gmail.com;6453;46.12440;19.15873;Bács-Kiskun;Bács-Kiskun;+36305654295;Bácsbokod;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz
Szabó Ervin egyéni vállalkozó;Dobó utca 4.;r-win.pro@indamail.hu;6065;46.87401;19.98807;Bács-Kiskun;Bács-Kiskun;+36306101265;Lakitelek;Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV)
Ab-naplet Kft.;Lugas utca 5.;abnaplet@gmail.com;5900;46.57410;20.66547;Békés;Békés;+36703700205;Orosháza;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz
Bánszki Pál egyéni vállalkozó;Csabai út 34/1;bpepgepeszet@gmail.com;5623;46.70425;21.18033;Békés;Békés;+36703143802;Békéscsaba – Gerla;Split-klíma telepítés | Háztartási hőszivattyú telepítés
CST-Klíma Kereskedelmi és Korlátolt Felelősségű Társaság;Könyves U. 24;info@cstklima.hu;5600;46.66848;21.06889;Békés;Békés;+36209376511;Békéscsaba;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés szerviz
Farkas László egyéni vállalkozó;Szt. István út 57;info.geproject@gmail.com;5700;46.63705;21.27884;Békés;Békés;+36703722000;Gyula;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz
Fegyver Zoltán egyéni vállalkozó;Achim.A.u.18;fegyverzoltan@gmail.com;5525;47.11981;21.21794;Békés;Békés;+36303917037;Füzesgyarmat;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Frankó Klíma Kft.;Temesvári utca 3.;frankoklimakft@gmail.com;5600;46.66146;21.07504;Békés;Békés;+36208047066;Békéscsaba;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
Hungaro Pompe Kft.;Hídfő út 7.;arnold9007@gmail.com;5502;46.93204;20.77686;Békés;Békés;+36302582835;Gyomaendrőd;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
Innovate-air Kft.;Dózsa György utca 93.;info@innovate-air.hu;5540;46.87409;20.56565;Békés;Békés;+36205319424;Szarvas;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV)
KLIMBER Épületgépész Kft.;Október 6. utca 45.;gajdacstibor@gmail.com;5900;46.56390;20.66427;Békés;Békés;306841769;Orosháza;Split-klíma telepítés | Split-klíma szerviz | Háztartási hőszivattyú telepítés | Háztartási hőszivattyú szerviz | Klímarendszer telepítés (VRV) | Klímarendszer szerviz (VRV) | Kis hűtőberendezés telepítés | Kis hűtőberendezés szerviz
